Timestamp,Environment,Scenario,Mode,PrimaryChannel,PrimaryBand,PrimaryWidth_MHz,PrimaryLinkRate_Mbps,SecondaryChannel,SecondaryBand,SecondaryWidth_MHz,SecondaryLinkRate_Mbps,PrimaryCCI,PrimaryACI,PrimaryNeighbors,SecondaryCCI,SecondaryACI,SecondaryNeighbors,Streams,Throughput_Mbps,Retransmits,Run,Distance,Material,PartitionAmount,PartitionThickness,Connection,PrimaryRSSI,SecondaryRSSI
3/4/2026 20:35,Uni-LOS,1.5m Uni LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,5,,,,4,649.46,0,8,1.5,,0,0,Wireless,-59,
3/4/2026 20:35,Uni-LOS,1.5m Uni LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,5,,,,4,644.87,0,9,1.5,,0,0,Wireless,-59,
3/4/2026 20:36,Uni-LOS,1.5m Uni LOS 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,5,,,,4,660.5,0,10,1.5,,0,0,Wireless,-59,
3/4/2026 20:47,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,260.29,0,1,1.5,,0,0,Wireless,-38,
3/4/2026 20:47,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,260.92,0,2,1.5,,0,0,Wireless,-38,
3/4/2026 20:48,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,275.09,0,3,1.5,,0,0,Wireless,-38,
3/4/2026 20:49,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,268.15,0,4,1.5,,0,0,Wireless,-38,
3/4/2026 20:49,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,274.6,0,5,1.5,,0,0,Wireless,-38,
3/4/2026 20:50,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,274.46,0,6,1.5,,0,0,Wireless,-38,
3/4/2026 20:50,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,264.21,0,7,1.5,,0,0,Wireless,-38,
3/4/2026 20:51,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,260.17,0,8,1.5,,0,0,Wireless,-38,
3/4/2026 20:51,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,262.08,0,9,1.5,,0,0,Wireless,-38,
3/4/2026 20:52,Uni-LOS,1.5m Uni LOS 5GHz Wireless,Standard,149,5GHz,80,1441,,,,,0,5,5,,,,4,256.23,0,10,1.5,,0,0,Wireless,-38,
3/4/2026 20:56,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,90.68,0,1,1.5,,0,0,Wireless,-36,
3/4/2026 20:56,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,93.95,0,2,1.5,,0,0,Wireless,-36,
3/4/2026 20:57,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,93.03,0,3,1.5,,0,0,Wireless,-36,
